-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 960.0 572.0
0.0: LeftPaddle 210.0 384.0
0.0: RightPaddle 699.0 369.0
0.05: LeftPaddle 210.0 384.0
0.05: RightPaddle 699.0 369.0
0.1: LeftPaddle 210.0 384.0
0.1: RightPaddle 699.0 369.0
0.151: LeftPaddle 210.0 384.0
0.151: RightPaddle 699.0 369.0
0.201: LeftPaddle 210.0 384.0
0.201: RightPaddle 699.0 369.0
0.251: LeftPaddle 210.0 384.0
0.251: RightPaddle 699.0 369.0
0.302: LeftPaddle 210.0 384.0
0.302: RightPaddle 699.0 369.0
0.302: MeSpawn 500.1345476411507 4 0 circle
0.352: LeftPaddle 210.0 384.0
0.352: RightPaddle 699.0 369.0
0.405: LeftPaddle 210.0 384.0
0.405: RightPaddle 699.0 369.0
0.455: LeftPaddle 210.0 384.0
0.455: RightPaddle 699.0 369.0
0.513: LeftPaddle 210.0 384.0
0.513: RightPaddle 699.0 369.0
0.563: LeftPaddle 210.0 384.0
0.563: RightPaddle 699.0 369.0
0.612: LeftPaddle 210.0 384.0
0.612: RightPaddle 699.0 369.0
0.662: LeftPaddle 210.0 384.0
0.662: RightPaddle 699.0 369.0
0.712: LeftPaddle 222.0 384.0
0.712: RightPaddle 699.0 369.0
0.753: LeftPaddle 243.0 384.0
0.753: RightPaddle 699.0 369.0
0.809: LeftPaddle 264.0 363.0
0.809: RightPaddle 699.0 369.0
0.862: LeftPaddle 291.0 336.0
0.862: RightPaddle 699.0 369.0
0.902: LeftPaddle 309.0 318.0
0.902: RightPaddle 699.0 369.0
0.964: LeftPaddle 333.0 294.0
0.964: RightPaddle 699.0 369.0
1.002: LeftPaddle 348.0 279.0
1.002: RightPaddle 699.0 369.0
1.052: LeftPaddle 363.0 264.0
1.052: RightPaddle 699.0 369.0
1.109: LeftPaddle 381.0 252.0
1.109: RightPaddle 699.0 369.0
1.152: LeftPaddle 399.0 252.0
1.152: RightPaddle 699.0 369.0
1.211: LeftPaddle 423.0 252.0
1.211: RightPaddle 699.0 369.0
1.258: LeftPaddle 447.0 252.0
1.258: RightPaddle 699.0 369.0
1.309: LeftPaddle 468.0 252.0
1.309: RightPaddle 699.0 369.0
1.309: MeSpawn 882.5600618791385 2 1 circle
1.358: LeftPaddle 486.0 252.0
1.358: RightPaddle 699.0 369.0
1.392: MeDeflect 0
1.392: Score increased to 1
1.401: LeftPaddle 504.0 234.0
1.401: RightPaddle 699.0 369.0
1.464: LeftPaddle 516.0 213.0
1.464: RightPaddle 699.0 369.0
1.501: LeftPaddle 516.0 198.0
1.501: RightPaddle 699.0 369.0
1.561: LeftPaddle 516.0 180.0
1.561: RightPaddle 699.0 369.0
1.612: LeftPaddle 504.0 156.0
1.612: RightPaddle 699.0 369.0
1.655: LeftPaddle 486.0 153.0
1.655: RightPaddle 699.0 369.0
1.708: LeftPaddle 468.0 153.0
1.708: RightPaddle 699.0 369.0
1.764: LeftPaddle 447.0 165.0
1.764: RightPaddle 699.0 369.0
1.811: LeftPaddle 429.0 183.0
1.811: RightPaddle 699.0 369.0
1.857: LeftPaddle 417.0 201.0
1.857: RightPaddle 699.0 369.0
1.909: LeftPaddle 435.0 219.0
1.909: RightPaddle 699.0 369.0
1.962: LeftPaddle 456.0 240.0
1.962: RightPaddle 699.0 369.0
2.014: LeftPaddle 477.0 240.0
2.014: RightPaddle 699.0 369.0
2.064: LeftPaddle 498.0 240.0
2.064: RightPaddle 699.0 369.0
2.114: LeftPaddle 519.0 240.0
