-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 968.0 576.0
6.098: MeDeflect 4
6.098: Score increased to 3
6.157: LeftPaddle 813.0 162.0
6.157: RightPaddle 9.9E-324 9.9E-324
6.25: LeftPaddle 813.0 162.0
6.25: RightPaddle 9.9E-324 9.9E-324
6.358: LeftPaddle 726.0 249.0
6.358: RightPaddle 9.9E-324 9.9E-324
6.458: LeftPaddle 600.0 315.0
6.458: RightPaddle 9.9E-324 9.9E-324
6.559: LeftPaddle 600.0 315.0
6.559: RightPaddle 9.9E-324 9.9E-324
6.657: LeftPaddle 600.0 219.0
6.657: RightPaddle 9.9E-324 9.9E-324
6.657: MeSpawn 634.5989292603183 3 6 polygon
6.753: LeftPaddle 600.0 219.0
6.753: RightPaddle 9.9E-324 9.9E-324
6.857: LeftPaddle 504.0 333.0
6.857: RightPaddle 9.9E-324 9.9E-324
6.958: LeftPaddle 504.0 390.0
6.958: RightPaddle 9.9E-324 9.9E-324
7.058: LeftPaddle 504.0 390.0
7.058: RightPaddle 9.9E-324 9.9E-324
7.114: MeDeflect 5
7.114: Score increased to 4
7.15: LeftPaddle 504.0 300.0
7.15: RightPaddle 9.9E-324 9.9E-324
7.259: LeftPaddle 486.0 303.0
7.259: RightPaddle 9.9E-324 9.9E-324
7.355: LeftPaddle 345.0 444.0
7.355: RightPaddle 9.9E-324 9.9E-324
7.458: LeftPaddle 483.0 489.0
7.458: RightPaddle 9.9E-324 9.9E-324
7.558: LeftPaddle 627.0 411.0
7.558: RightPaddle 9.9E-324 9.9E-324
7.659: LeftPaddle 687.0 267.0
7.659: RightPaddle 9.9E-324 9.9E-324
7.659: MeSpawn 491.5946355310225 2 7 square
7.756: LeftPaddle 636.0 177.0
7.756: RightPaddle 9.9E-324 9.9E-324
7.859: LeftPaddle 594.0 189.0
7.859: RightPaddle 9.9E-324 9.9E-324
7.879: MeDeflect 6
7.958: LeftPaddle 690.0 330.0
7.958: RightPaddle 9.9E-324 9.9E-324
8.05: LeftPaddle 795.0 342.0
8.05: RightPaddle 9.9E-324 9.9E-324
8.158: LeftPaddle 792.0 342.0
8.158: RightPaddle 9.9E-324 9.9E-324
8.258: LeftPaddle 651.0 276.0
8.258: RightPaddle 9.9E-324 9.9E-324
8.357: LeftPaddle 519.0 144.0
8.357: RightPaddle 9.9E-324 9.9E-324
8.398: MeDeflect 7
8.398: Score increased to 5
8.457: LeftPaddle 384.0 9.0
8.457: RightPaddle 9.9E-324 9.9E-324
8.559: LeftPaddle 384.0 9.0
8.559: RightPaddle 9.9E-324 9.9E-324
8.655: LeftPaddle 435.0 111.0
8.655: RightPaddle 9.9E-324 9.9E-324
8.655: MeSpawn 717.7184502017604 3 8 square
8.758: LeftPaddle 573.0 168.0
8.758: RightPaddle 9.9E-324 9.9E-324
8.857: LeftPaddle 690.0 111.0
8.857: RightPaddle 9.9E-324 9.9E-324
8.958: LeftPaddle 663.0 -12.0
8.958: RightPaddle 9.9E-324 9.9E-324
9.057: LeftPaddle 525.0 -12.0
9.057: RightPaddle 9.9E-324 9.9E-324
9.158: LeftPaddle 666.0 -12.0
